email,first_name,segment,segment_score,subject_line,preview_text,headline,body,cta_text,image_concept,creative_version_id,game_date,game_time,opponent,send_date
derek.larson@email.com,Derek,foodie,0.73,"🍺 Brews, bites & baseball — Friday at AmFam",New menu drops this series. Your taste buds will thank you.,The Best Bites in Baseball. Seriously.,"The Brewers host the Washington Nationals on Friday, 2026-04-10 at 6:40 PM — and this series, the food lineup might rival the batting order.

Think Wisconsin cheese curds, craft beer from local breweries, and a few new items the culinary team has been perfecting. Arrive early, grab a spot on the terrace, and taste your way through nine innings.

Baseball is better when it comes with a cold one and a loaded brat. Lock in your seats and bring your appetite.",Grab Your Seats & Your Appetite,Famous Brewers sausage race,v_foodie_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
tina.garcia@email.com,Tina,foodie,0.71,"🍺 Brews, bites & baseball — Friday at AmFam",New menu drops this series. Your taste buds will thank you.,The Best Bites in Baseball. Seriously.,"The Brewers host the Washington Nationals on Friday, 2026-04-10 at 6:40 PM — and this series, the food lineup might rival the batting order.

Think Wisconsin cheese curds, craft beer from local breweries, and a few new items the culinary team has been perfecting. Arrive early, grab a spot on the terrace, and taste your way through nine innings.

Baseball is better when it comes with a cold one and a loaded brat. Lock in your seats and bring your appetite.",Grab Your Seats & Your Appetite,Famous Brewers sausage race,v_foodie_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
patty.morrison@email.com,Patty,family,0.91,👨‍👩‍👧‍👦 A perfect family day at the ballpark,"Sun, smiles, and a whole lot of fun for the kids.",Make Memories They'll Never Forget,"Bring the whole family out to American Family Field on Friday, 2026-04-10 at 6:40 PM when the Brewers take on the Washington Nationals.

The kids will love the Family Fun Zone, and you might even catch Bernie Brewer sliding down after a home run. It's the kind of day that turns into a story they tell at school on Monday.

Affordable individual tickets are available now — because the best family memories don't have to break the bank.",Plan Your Family Day,Helfaer Field little league park at AmFam,v_family_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
dave.kowalczyk@email.com,Dave,family,0.87,👨‍👩‍👧‍👦 A perfect family day at the ballpark,"Sun, smiles, and a whole lot of fun for the kids.",Make Memories They'll Never Forget,"Bring the whole family out to American Family Field on Friday, 2026-04-10 at 6:40 PM when the Brewers take on the Washington Nationals.

The kids will love the Family Fun Zone, and you might even catch Bernie Brewer sliding down after a home run. It's the kind of day that turns into a story they tell at school on Monday.

Affordable individual tickets are available now — because the best family memories don't have to break the bank.",Plan Your Family Day,Helfaer Field little league park at AmFam,v_family_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
jessica.lang@email.com,Jessica,family,0.84,👨‍👩‍👧‍👦 A perfect family day at the ballpark,"Sun, smiles, and a whole lot of fun for the kids.",Make Memories They'll Never Forget,"Bring the whole family out to American Family Field on Friday, 2026-04-10 at 6:40 PM when the Brewers take on the Washington Nationals.

The kids will love the Family Fun Zone, and you might even catch Bernie Brewer sliding down after a home run. It's the kind of day that turns into a story they tell at school on Monday.

Affordable individual tickets are available now — because the best family memories don't have to break the bank.",Plan Your Family Day,Helfaer Field little league park at AmFam,v_family_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
matt.henderson@email.com,Matt,family,0.82,👨‍👩‍👧‍👦 A perfect family day at the ballpark,"Sun, smiles, and a whole lot of fun for the kids.",Make Memories They'll Never Forget,"Bring the whole family out to American Family Field on Friday, 2026-04-10 at 6:40 PM when the Brewers take on the Washington Nationals.

The kids will love the Family Fun Zone, and you might even catch Bernie Brewer sliding down after a home run. It's the kind of day that turns into a story they tell at school on Monday.

Affordable individual tickets are available now — because the best family memories don't have to break the bank.",Plan Your Family Day,Helfaer Field little league park at AmFam,v_family_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
laura.schmidt@email.com,Laura,family,0.8,👨‍👩‍👧‍👦 A perfect family day at the ballpark,"Sun, smiles, and a whole lot of fun for the kids.",Make Memories They'll Never Forget,"Bring the whole family out to American Family Field on Friday, 2026-04-10 at 6:40 PM when the Brewers take on the Washington Nationals.

The kids will love the Family Fun Zone, and you might even catch Bernie Brewer sliding down after a home run. It's the kind of day that turns into a story they tell at school on Monday.

Affordable individual tickets are available now — because the best family memories don't have to break the bank.",Plan Your Family Day,Helfaer Field little league park at AmFam,v_family_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
ben.armstrong@email.com,Ben,family,0.77,👨‍👩‍👧‍👦 A perfect family day at the ballpark,"Sun, smiles, and a whole lot of fun for the kids.",Make Memories They'll Never Forget,"Bring the whole family out to American Family Field on Friday, 2026-04-10 at 6:40 PM when the Brewers take on the Washington Nationals.

The kids will love the Family Fun Zone, and you might even catch Bernie Brewer sliding down after a home run. It's the kind of day that turns into a story they tell at school on Monday.

Affordable individual tickets are available now — because the best family memories don't have to break the bank.",Plan Your Family Day,Helfaer Field little league park at AmFam,v_family_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
kelly.zhang@email.com,Kelly,family,0.75,👨‍👩‍👧‍👦 A perfect family day at the ballpark,"Sun, smiles, and a whole lot of fun for the kids.",Make Memories They'll Never Forget,"Bring the whole family out to American Family Field on Friday, 2026-04-10 at 6:40 PM when the Brewers take on the Washington Nationals.

The kids will love the Family Fun Zone, and you might even catch Bernie Brewer sliding down after a home run. It's the kind of day that turns into a story they tell at school on Monday.

Affordable individual tickets are available now — because the best family memories don't have to break the bank.",Plan Your Family Day,Helfaer Field little league park at AmFam,v_family_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
adam.burke@email.com,Adam,family,0.89,👨‍👩‍👧‍👦 A perfect family day at the ballpark,"Sun, smiles, and a whole lot of fun for the kids.",Make Memories They'll Never Forget,"Bring the whole family out to American Family Field on Friday, 2026-04-10 at 6:40 PM when the Brewers take on the Washington Nationals.

The kids will love the Family Fun Zone, and you might even catch Bernie Brewer sliding down after a home run. It's the kind of day that turns into a story they tell at school on Monday.

Affordable individual tickets are available now — because the best family memories don't have to break the bank.",Plan Your Family Day,Helfaer Field little league park at AmFam,v_family_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
michelle.rivera@email.com,Michelle,family,0.73,👨‍👩‍👧‍👦 A perfect family day at the ballpark,"Sun, smiles, and a whole lot of fun for the kids.",Make Memories They'll Never Forget,"Bring the whole family out to American Family Field on Friday, 2026-04-10 at 6:40 PM when the Brewers take on the Washington Nationals.

The kids will love the Family Fun Zone, and you might even catch Bernie Brewer sliding down after a home run. It's the kind of day that turns into a story they tell at school on Monday.

Affordable individual tickets are available now — because the best family memories don't have to break the bank.",Plan Your Family Day,Helfaer Field little league park at AmFam,v_family_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
steve.olson@email.com,Steve,family,0.7,👨‍👩‍👧‍👦 A perfect family day at the ballpark,"Sun, smiles, and a whole lot of fun for the kids.",Make Memories They'll Never Forget,"Bring the whole family out to American Family Field on Friday, 2026-04-10 at 6:40 PM when the Brewers take on the Washington Nationals.

The kids will love the Family Fun Zone, and you might even catch Bernie Brewer sliding down after a home run. It's the kind of day that turns into a story they tell at school on Monday.

Affordable individual tickets are available now — because the best family memories don't have to break the bank.",Plan Your Family Day,Helfaer Field little league park at AmFam,v_family_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
tammy.jackson@email.com,Tammy,social,0.93,🎉 This Friday is going to be LOUD,Your group chat is about to blow up. Don't be the one who missed it.,Rally Your Crew. This One's Going to Be Big.,"The Washington Nationals are in town on Friday, 2026-04-10 at 6:40 PM — and you already know the tailgate scene is going to be unreal.

Get to the lot early, fire up the grill, and soak in the pregame energy. By first pitch, the whole stadium will be buzzing. This is the kind of night that ends up all over everyone's Instagram.

Don't be the friend who sees the photos on Monday and wishes they'd been there. Grab your tickets and text the crew.",Rally Your Crew,Fireworks night at Miller Park,v_social_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
ryan.brooks@email.com,Ryan,social,0.88,🎉 This Friday is going to be LOUD,Your group chat is about to blow up. Don't be the one who missed it.,Rally Your Crew. This One's Going to Be Big.,"The Washington Nationals are in town on Friday, 2026-04-10 at 6:40 PM — and you already know the tailgate scene is going to be unreal.

Get to the lot early, fire up the grill, and soak in the pregame energy. By first pitch, the whole stadium will be buzzing. This is the kind of night that ends up all over everyone's Instagram.

Don't be the friend who sees the photos on Monday and wishes they'd been there. Grab your tickets and text the crew.",Rally Your Crew,Fireworks night at Miller Park,v_social_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
ashley.martin@email.com,Ashley,social,0.85,🎉 This Friday is going to be LOUD,Your group chat is about to blow up. Don't be the one who missed it.,Rally Your Crew. This One's Going to Be Big.,"The Washington Nationals are in town on Friday, 2026-04-10 at 6:40 PM — and you already know the tailgate scene is going to be unreal.

Get to the lot early, fire up the grill, and soak in the pregame energy. By first pitch, the whole stadium will be buzzing. This is the kind of night that ends up all over everyone's Instagram.

Don't be the friend who sees the photos on Monday and wishes they'd been there. Grab your tickets and text the crew.",Rally Your Crew,Fireworks night at Miller Park,v_social_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
tyler.reed@email.com,Tyler,social,0.83,🎉 This Friday is going to be LOUD,Your group chat is about to blow up. Don't be the one who missed it.,Rally Your Crew. This One's Going to Be Big.,"The Washington Nationals are in town on Friday, 2026-04-10 at 6:40 PM — and you already know the tailgate scene is going to be unreal.

Get to the lot early, fire up the grill, and soak in the pregame energy. By first pitch, the whole stadium will be buzzing. This is the kind of night that ends up all over everyone's Instagram.

Don't be the friend who sees the photos on Monday and wishes they'd been there. Grab your tickets and text the crew.",Rally Your Crew,Fireworks night at Miller Park,v_social_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
megan.clark@email.com,Megan,social,0.81,🎉 This Friday is going to be LOUD,Your group chat is about to blow up. Don't be the one who missed it.,Rally Your Crew. This One's Going to Be Big.,"The Washington Nationals are in town on Friday, 2026-04-10 at 6:40 PM — and you already know the tailgate scene is going to be unreal.

Get to the lot early, fire up the grill, and soak in the pregame energy. By first pitch, the whole stadium will be buzzing. This is the kind of night that ends up all over everyone's Instagram.

Don't be the friend who sees the photos on Monday and wishes they'd been there. Grab your tickets and text the crew.",Rally Your Crew,Fireworks night at Miller Park,v_social_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
josh.peterson@email.com,Josh,social,0.79,🎉 This Friday is going to be LOUD,Your group chat is about to blow up. Don't be the one who missed it.,Rally Your Crew. This One's Going to Be Big.,"The Washington Nationals are in town on Friday, 2026-04-10 at 6:40 PM — and you already know the tailgate scene is going to be unreal.

Get to the lot early, fire up the grill, and soak in the pregame energy. By first pitch, the whole stadium will be buzzing. This is the kind of night that ends up all over everyone's Instagram.

Don't be the friend who sees the photos on Monday and wishes they'd been there. Grab your tickets and text the crew.",Rally Your Crew,Fireworks night at Miller Park,v_social_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
nicole.foster@email.com,Nicole,social,0.76,🎉 This Friday is going to be LOUD,Your group chat is about to blow up. Don't be the one who missed it.,Rally Your Crew. This One's Going to Be Big.,"The Washington Nationals are in town on Friday, 2026-04-10 at 6:40 PM — and you already know the tailgate scene is going to be unreal.

Get to the lot early, fire up the grill, and soak in the pregame energy. By first pitch, the whole stadium will be buzzing. This is the kind of night that ends up all over everyone's Instagram.

Don't be the friend who sees the photos on Monday and wishes they'd been there. Grab your tickets and text the crew.",Rally Your Crew,Fireworks night at Miller Park,v_social_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
alex.moreno@email.com,Alex,social,0.9,🎉 This Friday is going to be LOUD,Your group chat is about to blow up. Don't be the one who missed it.,Rally Your Crew. This One's Going to Be Big.,"The Washington Nationals are in town on Friday, 2026-04-10 at 6:40 PM — and you already know the tailgate scene is going to be unreal.

Get to the lot early, fire up the grill, and soak in the pregame energy. By first pitch, the whole stadium will be buzzing. This is the kind of night that ends up all over everyone's Instagram.

Don't be the friend who sees the photos on Monday and wishes they'd been there. Grab your tickets and text the crew.",Rally Your Crew,Fireworks night at Miller Park,v_social_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
brittany.hall@email.com,Brittany,social,0.74,🎉 This Friday is going to be LOUD,Your group chat is about to blow up. Don't be the one who missed it.,Rally Your Crew. This One's Going to Be Big.,"The Washington Nationals are in town on Friday, 2026-04-10 at 6:40 PM — and you already know the tailgate scene is going to be unreal.

Get to the lot early, fire up the grill, and soak in the pregame energy. By first pitch, the whole stadium will be buzzing. This is the kind of night that ends up all over everyone's Instagram.

Don't be the friend who sees the photos on Monday and wishes they'd been there. Grab your tickets and text the crew.",Rally Your Crew,Fireworks night at Miller Park,v_social_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
connor.murphy@email.com,Connor,social,0.72,🎉 This Friday is going to be LOUD,Your group chat is about to blow up. Don't be the one who missed it.,Rally Your Crew. This One's Going to Be Big.,"The Washington Nationals are in town on Friday, 2026-04-10 at 6:40 PM — and you already know the tailgate scene is going to be unreal.

Get to the lot early, fire up the grill, and soak in the pregame energy. By first pitch, the whole stadium will be buzzing. This is the kind of night that ends up all over everyone's Instagram.

Don't be the friend who sees the photos on Monday and wishes they'd been there. Grab your tickets and text the crew.",Rally Your Crew,Fireworks night at Miller Park,v_social_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
